Year,section,reach,pass,unitnum,unittype,Vert index,pitnumber,species,length 1 (mm),length 2 (mm),Weight (g),clip,Sample date,notes
1987,CC,L,1,2,C,4,NA,Cutthroat trout,105,NA,10.85,NONE,07 October 1987,NA
1987,CC,L,1,2,C,5,NA,Cutthroat trout,145,NA,22.9,NONE,07 October 1987,NA
1987,CC,L,1,2,C,6,NA,Cutthroat trout,97,NA,7.3,NONE,07 October 1987,NA
1987,CC,L,1,2,C,7,NA,Cutthroat trout,118,NA,12,NONE,07 October 1987,NA
1987,CC,L,1,2,C,8,NA,Cutthroat trout,110,NA,11.1,NONE,07 October 1987,NA
1987,CC,L,1,2,C,9,NA,Cutthroat trout,133,NA,19.1,NONE,07 October 1987,NA
1987,CC,L,1,2,C,10,NA,Cutthroat trout,99,NA,7.75,NONE,07 October 1987,NA
1987,CC,L,1,2,C,11,NA,Cutthroat trout,93,NA,7.05,NONE,07 October 1987,NA
1987,CC,L,1,2,C,12,NA,Cutthroat trout,155,NA,30.85,NONE,07 October 1987,NA
1987,CC,L,1,2,C,13,NA,Cutthroat trout,131,NA,17.65,NONE,07 October 1987,NA
1987,CC,L,1,2,C,14,NA,Cutthroat trout,120,NA,13.45,NONE,07 October 1987,NA
1987,CC,L,1,2,C,15,NA,Cutthroat trout,94,NA,6.65,NONE,07 October 1987,NA
1987,CC,L,1,2,C,16,NA,Cutthroat trout,97,NA,7.6,NONE,07 October 1987,NA
1987,CC,L,1,2,C,17,NA,Cutthroat trout,98,NA,7.65,NONE,07 October 1987,NA
1987,CC,L,1,2,C,18,NA,Cutthroat trout,122,NA,14.2,NONE,07 October 1987,NA
1987,CC,L,1,2,C,19,NA,Cutthroat trout,135,NA,19.7,NONE,07 October 1987,NA
1987,CC,L,1,2,C,20,NA,Cutthroat trout,186,NA,49.15,NONE,07 October 1987,NA
1987,CC,L,1,2,C,21,NA,Cutthroat trout,121,NA,16.15,NONE,07 October 1987,NA
1987,CC,L,1,2,C,22,NA,Cutthroat trout,59,NA,2.25,NONE,07 October 1987,NA
1987,CC,L,1,2,C,23,NA,Cutthroat trout,91,NA,6.9,NONE,07 October 1987,NA
1987,CC,L,1,2,C,24,NA,Cutthroat trout,103,NA,9.1,NONE,07 October 1987,NA
1987,CC,L,1,2,C,25,NA,Cutthroat trout,107,NA,9.3,NONE,07 October 1987,NA
1987,CC,L,1,2,C,26,NA,Cutthroat trout,129,NA,17.5,NONE,07 October 1987,NA
1987,CC,L,1,2,C,27,NA,Cutthroat trout,92,NA,6.1,NONE,07 October 1987,NA
1987,CC,L,1,2,C,28,NA,Cutthroat trout,93,NA,8.15,NONE,07 October 1987,NA
1987,CC,L,1,2,C,29,NA,Cutthroat trout,154,NA,29.5,NONE,07 October 1987,NA
1987,CC,L,1,2,C,30,NA,Cutthroat trout,121,NA,13.95,NONE,07 October 1987,NA
1987,CC,L,1,2,C,31,NA,Cutthroat trout,63,NA,2.35,NONE,07 October 1987,NA
1987,CC,L,1,2,C,32,NA,Cutthroat trout,116,NA,12.25,NONE,07 October 1987,NA
1987,CC,L,1,2,C,33,NA,Cutthroat trout,59,NA,2.35,NONE,07 October 1987,NA
1987,CC,L,1,2,C,34,NA,Cutthroat trout,48,NA,1.3,NONE,07 October 1987,NA
1987,CC,L,1,2,C,35,NA,Cutthroat trout,111,NA,10.55,NONE,07 October 1987,NA
1987,CC,L,1,2,C,36,NA,Cutthroat trout,63,NA,2.05,NONE,07 October 1987,NA
1987,CC,L,1,2,C,37,NA,Cutthroat trout,96,NA,7,NONE,07 October 1987,NA
1987,CC,L,1,2,C,38,NA,Cutthroat trout,62,NA,2.3,NONE,07 October 1987,NA
1987,CC,L,1,2,C,39,NA,Cutthroat trout,57,NA,2.1,NONE,07 October 1987,NA
1987,CC,L,1,2,C,40,NA,Cutthroat trout,57,NA,1.85,NONE,07 October 1987,NA
1987,CC,L,1,2,C,41,NA,Cutthroat trout,56,NA,2.1,NONE,07 October 1987,NA
1987,CC,L,1,2,C,42,NA,Cutthroat trout,64,NA,2.45,NONE,07 October 1987,NA
1987,CC,L,1,2,C,43,NA,Cutthroat trout,58,NA,1.95,NONE,07 October 1987,NA
1987,CC,L,1,2,C,44,NA,Cutthroat trout,70,NA,3.1,NONE,07 October 1987,NA
1987,CC,L,1,2,C,45,NA,Cutthroat trout,68,NA,2.8,NONE,07 October 1987,NA
1987,CC,L,1,3,S,1,NA,Cutthroat trout,83,NA,5.7,NONE,07 October 1987,NA
1987,CC,L,1,3,S,2,NA,Cutthroat trout,55,NA,1.4,NONE,07 October 1987,NA
1987,CC,L,1,4,P,1,NA,Cutthroat trout,61,NA,2.6,NONE,07 October 1987,NA
1987,CC,L,1,4,P,2,NA,Cutthroat trout,142,NA,21.3,NONE,07 October 1987,NA
1987,CC,L,1,4,P,3,NA,Cutthroat trout,121,NA,14.9,NONE,07 October 1987,NA
1987,CC,L,1,4,P,4,NA,Cutthroat trout,100,NA,7.35,NONE,07 October 1987,NA
1987,CC,L,1,4,P,5,NA,Cutthroat trout,96,NA,7.35,NONE,07 October 1987,NA
1987,CC,L,1,4,P,6,NA,Cutthroat trout,158,NA,30.6,NONE,07 October 1987,NA
1987,CC,L,1,4,P,7,NA,Cutthroat trout,96,NA,7.05,NONE,07 October 1987,NA
1987,CC,L,1,4,P,8,NA,Cutthroat trout,60,NA,2.1,NONE,07 October 1987,NA
1987,CC,L,1,4,P,9,NA,Cutthroat trout,55,NA,1.75,NONE,07 October 1987,NA
1987,CC,L,1,5,C,1,NA,Cutthroat trout,66,NA,2.95,NONE,07 October 1987,NA
1987,CC,L,1,5,C,2,NA,Cutthroat trout,116,NA,12.5,NONE,07 October 1987,NA
1987,CC,L,1,5,C,3,NA,Cutthroat trout,134,NA,19.5,NONE,07 October 1987,NA
1987,CC,L,1,5,C,4,NA,Cutthroat trout,63,NA,2.6,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,1,NA,Cutthroat trout,101,NA,9.55,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,2,NA,Cutthroat trout,58,NA,2,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,3,NA,Cutthroat trout,52,NA,1.25,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,4,NA,Cutthroat trout,28,NA,6.3,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,5,NA,Cutthroat trout,65,NA,2.35,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,6,NA,Cutthroat trout,61,NA,1.9,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,7,NA,Cutthroat trout,62,NA,2.15,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,8,NA,Cutthroat trout,135,NA,19.4,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,9,NA,Cutthroat trout,61,NA,2.3,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,10,NA,Cutthroat trout,106,NA,10.75,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,11,NA,Cutthroat trout,88,NA,5.2,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,12,NA,Cutthroat trout,103,NA,9.6,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,13,NA,Cutthroat trout,107,NA,9.5,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,14,NA,Cutthroat trout,53,NA,1.65,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,15,NA,Cutthroat trout,81,NA,4.5,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,16,NA,Cutthroat trout,58,NA,1.7,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,17,NA,Cutthroat trout,68,NA,2.45,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,18,NA,Cutthroat trout,57,NA,2.15,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,19,NA,Cutthroat trout,65,NA,2.7,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,20,NA,Cutthroat trout,59,NA,1.65,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,21,NA,Cutthroat trout,51,NA,1.45,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,22,NA,Cutthroat trout,59,NA,1.25,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,23,NA,Cutthroat trout,58,NA,1.25,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,24,NA,Cutthroat trout,58,NA,1.85,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,25,NA,Cutthroat trout,53,NA,1.65,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,26,NA,Cutthroat trout,55,NA,1.75,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,27,NA,Cutthroat trout,58,NA,2,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,28,NA,Cutthroat trout,55,NA,1.7,NONE,07 October 1987,NA
1987,CC,L,1,6,SC,29,NA,Cutthroat trout,57,NA,1.85,NONE,07 October 1987,NA
1987,CC,L,2,1,R,1,NA,Cutthroat trout,61,NA,2.15,NONE,07 October 1987,NA
1987,CC,L,2,1,R,2,NA,Cutthroat trout,98,NA,9.65,NONE,07 October 1987,NA
1987,CC,L,2,1,R,3,NA,Cutthroat trout,92,NA,6.95,NONE,07 October 1987,NA
1987,CC,L,2,1,R,4,NA,Cutthroat trout,92,NA,6.95,NONE,07 October 1987,NA
1987,CC,L,2,1,R,5,NA,Cutthroat trout,121,NA,16.8,NONE,07 October 1987,NA
1987,CC,L,2,1,R,6,NA,Cutthroat trout,106,NA,10,NONE,07 October 1987,NA
1987,CC,L,2,2,C,1,NA,Cutthroat trout,96,NA,7.35,NONE,07 October 1987,NA
1987,CC,L,2,2,C,2,NA,Cutthroat trout,97,NA,8.5,NONE,07 October 1987,NA
1987,CC,L,2,2,C,3,NA,Cutthroat trout,101,NA,8.7,NONE,07 October 1987,NA
1987,CC,L,2,4,P,1,NA,Cutthroat trout,57,NA,2.15,NONE,07 October 1987,NA
1987,CC,L,2,4,P,2,NA,Cutthroat trout,122,NA,15.25,NONE,07 October 1987,NA
1987,CC,L,2,4,P,3,NA,Cutthroat trout,102,NA,11.3,NONE,07 October 1987,NA
1987,CC,L,2,4,P,4,NA,Cutthroat trout,119,NA,18.5,NONE,07 October 1987,NA
1987,CC,L,2,4,P,5,NA,Cutthroat trout,158,NA,33.6,NONE,07 October 1987,NA
1987,CC,L,2,5,C,1,NA,Cutthroat trout,85,NA,5,NONE,07 October 1987,NA
1987,CC,L,2,6,SC,1,NA,Cutthroat trout,55,NA,1.65,NONE,07 October 1987,NA
1987,CC,M,1,7,P,1,NA,Cutthroat trout,59,NA,1.85,NONE,07 October 1987,NA
1987,CC,M,1,7,P,2,NA,Cutthroat trout,95,NA,7.2,NONE,07 October 1987,NA
1987,CC,M,1,7,P,3,NA,Cutthroat trout,108,NA,10.45,NONE,07 October 1987,NA
1987,CC,M,1,7,P,4,NA,Cutthroat trout,114,NA,11.7,NONE,07 October 1987,NA
1987,CC,M,1,7,P,5,NA,Cutthroat trout,115,NA,15.5,NONE,07 October 1987,NA
1987,CC,M,1,7,P,6,NA,Cutthroat trout,166,NA,37.15,NONE,07 October 1987,NA
1987,CC,M,1,7,P,7,NA,Cutthroat trout,145,NA,27.8,NONE,07 October 1987,NA
1987,CC,M,1,7,P,8,NA,Cutthroat trout,184,NA,64.2,NONE,07 October 1987,NA
1987,CC,M,1,7,P,9,NA,Cutthroat trout,140,NA,23.4,NONE,07 October 1987,NA
1987,CC,M,1,7,P,10,NA,Cutthroat trout,151,NA,31.2,NONE,07 October 1987,NA
1987,CC,M,1,7,P,11,NA,Cutthroat trout,133,NA,19.5,NONE,07 October 1987,NA
1987,CC,M,1,7,P,12,NA,Cutthroat trout,124,NA,17.15,NONE,07 October 1987,NA
1987,CC,M,1,7,P,13,NA,Cutthroat trout,130,NA,19.25,NONE,07 October 1987,NA
1987,CC,M,1,7,P,14,NA,Cutthroat trout,88,NA,6.5,NONE,07 October 1987,NA
1987,CC,M,1,7,P,15,NA,Cutthroat trout,107,NA,10.65,NONE,07 October 1987,NA
1987,CC,M,1,7,P,16,NA,Cutthroat trout,94,NA,6.85,NONE,07 October 1987,NA
1987,CC,M,1,7,P,17,NA,Cutthroat trout,69,NA,3.5,NONE,07 October 1987,NA
1987,CC,M,1,7,P,18,NA,Cutthroat trout,57,NA,2.2,NONE,07 October 1987,NA
1987,CC,M,1,7,P,19,NA,Cutthroat trout,92,NA,6.05,NONE,07 October 1987,NA
1987,CC,M,1,7,P,20,NA,Cutthroat trout,89,NA,6.55,NONE,07 October 1987,NA
1987,CC,M,1,8,C,1,NA,Cutthroat trout,60,NA,1.95,NONE,07 October 1987,NA
1987,CC,M,1,8,C,2,NA,Cutthroat trout,147,NA,30.15,NONE,07 October 1987,NA
1987,CC,M,1,8,C,3,NA,Cutthroat trout,150,NA,28.1,NONE,07 October 1987,NA
1987,CC,M,1,8,C,4,NA,Cutthroat trout,56,NA,1.8,NONE,07 October 1987,NA
1987,CC,M,1,8,C,5,NA,Cutthroat trout,62,NA,2,NONE,07 October 1987,NA
1987,CC,M,1,8,C,6,NA,Cutthroat trout,53,NA,1.55,NONE,07 October 1987,NA
1987,CC,M,1,8,C,7,NA,Cutthroat trout,57,NA,2.15,NONE,07 October 1987,NA
1987,CC,M,1,8,C,8,NA,Cutthroat trout,52,NA,1.5,NONE,07 October 1987,NA
1987,CC,M,1,8,C,9,NA,Cutthroat trout,101,NA,8.6,NONE,07 October 1987,NA
1987,CC,M,1,8,C,10,NA,Cutthroat trout,100,NA,9.25,NONE,07 October 1987,NA
1987,CC,M,1,8,C,11,NA,Cutthroat trout,112,NA,12.25,NONE,07 October 1987,NA
1987,CC,M,1,8,C,12,NA,Cutthroat trout,136,NA,21.05,NONE,07 October 1987,NA
1987,CC,M,1,8,C,13,NA,Cutthroat trout,133,NA,22.55,NONE,07 October 1987,NA
1987,CC,M,1,8,C,14,NA,Cutthroat trout,94,NA,7.15,NONE,07 October 1987,NA
1987,CC,M,1,8,C,15,NA,Cutthroat trout,52,NA,1.25,NONE,07 October 1987,NA
1987,CC,M,1,8,C,16,NA,Cutthroat trout,97,NA,7.8,NONE,07 October 1987,NA
1987,CC,M,1,8,C,17,NA,Cutthroat trout,106,NA,9.8,NONE,07 October 1987,NA
1987,CC,M,1,8,C,18,NA,Cutthroat trout,85,NA,5.65,NONE,07 October 1987,NA
1987,CC,M,1,8,C,19,NA,Cutthroat trout,105,NA,9.75,NONE,07 October 1987,NA
1987,CC,M,1,8,C,20,NA,Cutthroat trout,143,NA,24,NONE,07 October 1987,NA
1987,CC,M,1,8,C,21,NA,Cutthroat trout,148,NA,28.9,NONE,07 October 1987,NA
1987,CC,M,1,8,C,22,NA,Cutthroat trout,96,NA,7.6,NONE,07 October 1987,NA
1987,CC,M,1,8,C,23,NA,Cutthroat trout,122,NA,15.4,NONE,07 October 1987,NA
1987,CC,M,1,8,C,24,NA,Cutthroat trout,127,NA,17.1,NONE,07 October 1987,NA
1987,CC,M,1,8,C,25,NA,Cutthroat trout,117,NA,13.55,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,1,NA,Cutthroat trout,65,NA,2.4,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,2,NA,Cutthroat trout,65,NA,2.45,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,3,NA,Cutthroat trout,98,NA,9.35,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,4,NA,Cutthroat trout,131,NA,21.3,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,5,NA,Cutthroat trout,120,NA,15.4,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,6,NA,Cutthroat trout,139,NA,27.75,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,7,NA,Cutthroat trout,95,NA,8.55,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,8,NA,Cutthroat trout,88,NA,6.3,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,9,NA,Cutthroat trout,61,NA,2.15,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,10,NA,Cutthroat trout,63,NA,2.1,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,11,NA,Cutthroat trout,105,NA,10.55,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,12,NA,Cutthroat trout,63,NA,2.2,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,13,NA,Cutthroat trout,59,NA,2.35,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,14,NA,Cutthroat trout,60,NA,1.9,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,15,NA,Cutthroat trout,53,NA,1.6,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,16,NA,Cutthroat trout,71,NA,3.25,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,17,NA,Cutthroat trout,56,NA,1.6,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,18,NA,Cutthroat trout,61,NA,2.5,NONE,07 October 1987,NA
1987,CC,M,1,9,SC,19,NA,Cutthroat trout,51,NA,1.2,NONE,07 October 1987,NA
1987,CC,M,1,10,P,1,NA,Cutthroat trout,98,NA,8.65,NONE,07 October 1987,NA
1987,CC,M,1,10,P,2,NA,Cutthroat trout,43,NA,0.45,NONE,07 October 1987,NA
1987,CC,M,1,10,P,3,NA,Cutthroat trout,51,NA,1.2,NONE,07 October 1987,NA
1987,CC,M,1,10,P,4,NA,Cutthroat trout,53,NA,1.25,NONE,07 October 1987,NA
1987,CC,M,1,10,P,5,NA,Cutthroat trout,144,NA,25.8,NONE,07 October 1987,NA
1987,CC,M,1,10,P,6,NA,Cutthroat trout,131,NA,20.65,NONE,07 October 1987,NA
1987,CC,M,1,10,P,7,NA,Cutthroat trout,131,NA,19.75,NONE,07 October 1987,NA
1987,CC,M,1,10,P,8,NA,Cutthroat trout,106,NA,9.65,NONE,07 October 1987,NA
1987,CC,M,1,10,P,9,NA,Cutthroat trout,120,NA,14.55,NONE,07 October 1987,NA
1987,CC,M,1,10,P,10,NA,Cutthroat trout,165,NA,40.5,NONE,07 October 1987,NA
1987,CC,M,1,10,P,11,NA,Cutthroat trout,48,NA,1.05,NONE,07 October 1987,NA
1987,CC,M,1,10,P,12,NA,Cutthroat trout,49,NA,1.2,NONE,07 October 1987,NA
1987,CC,M,1,10,P,13,NA,Cutthroat trout,62,NA,2.75,NONE,07 October 1987,NA
1987,CC,M,1,11,C,1,NA,Cutthroat trout,72,NA,3.6,NONE,07 October 1987,NA
1987,CC,M,1,11,C,2,NA,Cutthroat trout,128,NA,19.3,NONE,07 October 1987,NA
1987,CC,M,1,11,C,3,NA,Cutthroat trout,47,NA,1.1,NONE,07 October 1987,NA
1987,CC,M,1,11,C,4,NA,Cutthroat trout,126,NA,18.7,NONE,07 October 1987,NA
1987,CC,M,1,11,C,5,NA,Cutthroat trout,99,NA,8.95,NONE,07 October 1987,NA
1987,CC,M,1,11,C,6,NA,Cutthroat trout,86,NA,6,NONE,07 October 1987,NA
1987,CC,M,1,11,C,7,NA,Cutthroat trout,130,NA,18.65,NONE,07 October 1987,NA
1987,CC,M,1,11,C,8,NA,Cutthroat trout,123,NA,16.7,NONE,07 October 1987,NA
1987,CC,M,1,11,C,9,NA,Cutthroat trout,104,NA,10.05,NONE,07 October 1987,NA
1987,CC,M,1,11,C,10,NA,Cutthroat trout,66,NA,2.55,NONE,07 October 1987,NA
1987,CC,M,1,11,C,11,NA,Cutthroat trout,65,NA,2.75,NONE,07 October 1987,NA
1987,CC,M,2,7,P,1,NA,Cutthroat trout,132,NA,19.55,NONE,07 October 1987,NA
1987,CC,M,2,7,P,2,NA,Cutthroat trout,124,NA,16,NONE,07 October 1987,NA
1987,CC,M,2,7,P,3,NA,Cutthroat trout,123,NA,16.05,NONE,07 October 1987,NA
1987,CC,M,2,7,P,4,NA,Cutthroat trout,95,NA,8.85,NONE,07 October 1987,NA
1987,CC,M,2,7,P,5,NA,Cutthroat trout,63,NA,2.8,NONE,07 October 1987,NA
1987,CC,M,2,8,C,1,NA,Cutthroat trout,107,NA,10.75,NONE,07 October 1987,NA
1987,CC,M,2,8,C,2,NA,Cutthroat trout,91,NA,6.8,NONE,07 October 1987,NA
1987,CC,M,2,8,C,3,NA,Cutthroat trout,93,NA,6.8,NONE,07 October 1987,NA
1987,CC,M,2,8,C,4,NA,Cutthroat trout,102,NA,8.4,NONE,07 October 1987,NA
1987,CC,M,2,8,C,5,NA,Cutthroat trout,92,NA,6.35,NONE,07 October 1987,NA
1987,CC,M,2,8,C,6,NA,Cutthroat trout,91,NA,6.45,NONE,07 October 1987,NA
1987,CC,M,2,8,C,7,NA,Cutthroat trout,60,NA,2.5,NONE,07 October 1987,NA
1987,CC,M,2,8,C,8,NA,Cutthroat trout,53,NA,1.65,NONE,07 October 1987,NA
1987,CC,M,2,9,SC,1,NA,Cutthroat trout,60,NA,2,NONE,07 October 1987,NA
1987,CC,M,2,9,SC,2,NA,Cutthroat trout,104,NA,12.25,NONE,07 October 1987,NA
1987,CC,M,2,9,SC,3,NA,Cutthroat trout,51,NA,1.25,NONE,07 October 1987,NA
1987,CC,M,2,9,SC,4,NA,Cutthroat trout,86,NA,6.65,NONE,07 October 1987,NA
1987,CC,M,2,9,SC,5,NA,Cutthroat trout,116,NA,14.7,NONE,07 October 1987,NA
1987,CC,M,2,9,SC,6,NA,Cutthroat trout,105,NA,10.4,NONE,07 October 1987,NA
1987,CC,M,2,9,SC,7,NA,Cutthroat trout,57,NA,1.65,NONE,07 October 1987,NA
1987,CC,M,2,10,P,1,NA,Cutthroat trout,64,NA,2.7,NONE,07 October 1987,NA
1987,CC,M,2,10,P,2,NA,Cutthroat trout,55,NA,1.7,NONE,07 October 1987,NA
1987,CC,M,2,10,P,3,NA,Cutthroat trout,118,NA,14.4,NONE,07 October 1987,NA
1987,CC,M,2,10,P,4,NA,Cutthroat trout,104,NA,9.05,NONE,07 October 1987,NA
1987,CC,M,2,11,C,1,NA,Cutthroat trout,58,NA,1.7,NONE,07 October 1987,NA
1987,CC,M,2,11,C,2,NA,Cutthroat trout,63,NA,2.6,NONE,07 October 1987,NA
1987,CC,M,2,11,C,3,NA,Cutthroat trout,69,NA,3,NONE,07 October 1987,NA
1987,CC,M,2,11,C,4,NA,Cutthroat trout,57,NA,2.2,NONE,07 October 1987,NA
1987,CC,U,1,15,C,1,NA,Cutthroat trout,89,NA,5.9,NONE,07 October 1987,NA
1987,CC,U,1,15,C,2,NA,Cutthroat trout,63,NA,2.95,NONE,07 October 1987,NA
1987,CC,U,1,15,C,3,NA,Cutthroat trout,76,NA,3.65,NONE,07 October 1987,NA
1987,CC,U,1,15,C,4,NA,Cutthroat trout,72,NA,3.35,NONE,07 October 1987,NA
1987,CC,U,1,15,C,5,NA,Cutthroat trout,109,NA,11,NONE,07 October 1987,NA
1987,CC,U,1,15,C,6,NA,Cutthroat trout,108,NA,10.6,NONE,07 October 1987,"P-12, S-13, P-14 OMITTED IN 1987 TO SAMPLE UPPER BEAVER INFLUENCE AREA"
1987,CC,U,1,15,C,7,NA,Cutthroat trout,112,NA,13.1,NONE,07 October 1987,NA
1987,CC,U,1,15,C,8,NA,Cutthroat trout,145,NA,28.2,NONE,07 October 1987,NA
1987,CC,U,1,15,C,9,NA,Cutthroat trout,86,NA,5.9,NONE,07 October 1987,NA
1987,CC,U,1,15,C,10,NA,Cutthroat trout,81,NA,4.6,NONE,07 October 1987,NA
1987,CC,U,1,15,C,11,NA,Cutthroat trout,97,NA,7.85,NONE,07 October 1987,NA
1987,CC,U,1,15,C,12,NA,Cutthroat trout,96,NA,7.55,NONE,07 October 1987,NA
1987,CC,U,1,15,C,13,NA,Cutthroat trout,99,NA,8.15,NONE,07 October 1987,NA
1987,CC,U,1,15,C,14,NA,Cutthroat trout,129,NA,18.3,NONE,07 October 1987,NA
1987,CC,U,1,15,C,15,NA,Cutthroat trout,142,NA,27,NONE,07 October 1987,NA
1987,CC,U,1,15,C,16,NA,Cutthroat trout,124,NA,16.95,NONE,07 October 1987,NA
1987,CC,U,1,15,C,17,NA,Cutthroat trout,109,NA,11.1,NONE,07 October 1987,NA
1987,CC,U,1,15,C,18,NA,Cutthroat trout,112,NA,12.4,NONE,07 October 1987,NA
1987,CC,U,1,15,C,19,NA,Cutthroat trout,56,NA,2.1,NONE,07 October 1987,NA
1987,CC,U,1,15,C,20,NA,Cutthroat trout,66,NA,3.3,NONE,07 October 1987,NA
1987,CC,U,1,15,C,21,NA,Cutthroat trout,50,NA,1.4,NONE,07 October 1987,NA
1987,CC,U,1,15,C,22,NA,Cutthroat trout,61,NA,2.15,NONE,07 October 1987,NA
1987,CC,U,1,15,C,23,NA,Cutthroat trout,60,NA,2,NONE,07 October 1987,NA
1987,CC,U,1,15,C,24,NA,Cutthroat trout,57,NA,2,NONE,07 October 1987,NA
1987,CC,U,1,15,C,25,NA,Cutthroat trout,52,NA,1.35,NONE,07 October 1987,NA
1987,CC,U,1,15,C,26,NA,Cutthroat trout,60,NA,1.8,NONE,07 October 1987,NA
1987,CC,U,1,15,C,27,NA,Cutthroat trout,59,NA,1.95,NONE,07 October 1987,NA
1987,CC,U,1,15,C,28,NA,Cutthroat trout,59,NA,1.9,NONE,07 October 1987,NA
1987,CC,U,1,15,C,29,NA,Cutthroat trout,100,NA,8.6,NONE,07 October 1987,NA
1987,CC,U,1,15,C,30,NA,Cutthroat trout,101,NA,8.25,NONE,07 October 1987,NA
1987,CC,U,1,15,C,31,NA,Cutthroat trout,116,NA,14,NONE,07 October 1987,NA
1987,CC,U,1,15,C,32,NA,Cutthroat trout,126,NA,17.1,NONE,07 October 1987,NA
1987,CC,U,1,15,C,33,NA,Cutthroat trout,104,NA,10.05,NONE,07 October 1987,NA
